Locus	Gene	At_ortholog	Annotation	Fst
Chr01:10489666_10498139	Po14v11b002072m	AT5G45290.2 	 RING/U-box superfamily protein 	10493006
Chr01:11626461_11627574	Po14v11b002326m	AT1G32690.1 	 DUF740 family protein 	11627133
Chr01:37149285_37160072	Po14v11b005625m	AT5G14580.1 	 polyribonucleotide nucleotidyltransferase 	37159180
Chr01:42593372_42596269	Po14v11b006332m	AT4G13010.1 	 Oxidoreductase%2C zinc-binding dehydrogenase family protein 	42593458
Chr03:21260139_21276234	Po14v11b015238m	AT2G40030.1 	 nuclear RNA polymerase D1B 	21276081
Chr05:2870406_2877674	Po14v11b019781m	AT3G04820.1 	 Pseudouridine synthase family protein 	2876489;2876746;2876761
Chr05:2880039_2887023	Po14v11b019784m	AT1G54510.3 	 NIMA-related serine/threonine kinase 1 	2880150;2880315;2880359;2880365;2881531
Chr05:19297047_19304029	Po14v11b022061m	AT1G71696.2 	 carboxypeptidase D 	19297149
Chr06:18966345_18984191	Po14v11b026088m	AT5G58160.1 	 actin binding protein 	18970201
Chr08:4667637_4673366	Po14v11b031177m	AT5G36170.1 	 high chlorophyll fluorescent 109 	4670378
Chr08:4908408_4920040	Po14v11b031243m	AT1G65610.1 	 Six-hairpin glycosidases superfamily protein 	4911077
Chr08:4910654_4911369	Po14v11b031244m	NA	NA	4911077
Chr14:7692949_7698025	Po14v11b049249m	AT3G62240.1 	 RING/U-box superfamily protein 	7694894
Chr18:851188_855884	Po14v11b057473m	AT2G29120.1 	 glutamate receptor 2.7 	853986
Chr18:16275565_16279867	Po14v11b059587m	AT5G26360.1 	 TCP-1/cpn60 chaperonin family protein 	16277337;16277345;16277354;16277355;16277378;16277381;16277383;16277387;16277388;16277389;16277390;16277419;16277420;16277442;16277475;16277556;16277588;16277598;16277601;16277609;16277616;16277654;16277691;16277835
